axis,gene,coefficient
pc1,ALPK2,-0.0001022594612378094
pc1,ALPK3,-0.00035797092382618205
pc1,ALPL,-5.640605356597962e-05
pc1,ALPP,1.5625808456665366e-05
pc1,ALS2,3.897155317053735e-05
pc1,ALS2CL,-0.00035237665817521995
pc1,ALS2CR12,5.223926934321737e-05
pc1,ALX1,-3.360770412658024e-06
pc1,ALX3,2.4844141597717983e-06
pc1,ALX4,-5.445358172561007e-06
pc1,ALYREF,-0.00044632312285452916
pc1,AMBN,0.0
pc1,AMBP,-9.122993719571746e-06
pc1,AMBRA1,0.00010966977553494351
pc1,AMD1,0.0005592786949891479
pc1,AMDHD1,0.00016644408787373264
pc1,AMER1,-6.811230557155782e-05
pc1,AMER2,-1.8091003240889296e-06
pc1,AMER3,-3.295898078498526e-06
pc1,AMFR,-0.0004334433965658859
pc1,AMHR2,-0.00016378933681342788
pc1,AMIGO1,-2.3842782324363517e-05
pc1,AMIGO2,-0.0005758645934908293
pc1,AMMECR1,-1.5072788850546777e-05
pc1,AMMECR1L,-0.00017037411349208324
pc1,AMN1,5.255749054494399e-06
pc1,AMOTL1,-0.0004691513386364463
pc1,AMPD1,1.4068422442491685e-05
pc1,AMPD2,-2.826837097085621e-05
pc1,AMPD3,0.0002362313072654999
pc1,AMPH,1.8549855362279593e-05
pc1,AMT,0.0002440780201317429
pc1,AMY1A,-1.0047210392926866e-05
pc1,AMY1C,0.0
pc1,AMY2A,1.2211218230052123e-05
pc1,AMZ1,2.4253808349309482e-05
pc1,AMZ2,-0.00011405101601431146
pc1,ANAPC1,-7.206494611661438e-05
pc1,ANAPC10,-0.00013961506879505223
pc1,ANAPC13,-0.00010076724966282318
pc1,ANAPC15,-0.0002423703823984468
pc1,ANAPC16,6.135558393003308e-05
pc1,ANAPC2,-4.5859123649024155e-05
pc1,ANAPC4,-0.00010252169057195269
pc1,ANAPC5,-0.00011952818240927044
pc1,ANGEL1,4.653241668701021e-05
pc1,ANGEL2,6.815902822508951e-05
pc1,ANGPT1,-6.902480255059675e-05
pc1,ANGPT2,-7.62454593918276e-05
pc1,ANGPT4,6.354066971682003e-06
pc1,ANGPTL1,-0.0001278421808411517
pc1,ANGPTL2,-0.0002613675049980115
pc1,ANGPTL3,9.741461817671934e-06
pc1,ANGPTL4,-0.00037947865898439585
pc1,ANGPTL5,-8.466498449443198e-07
pc1,ANGPTL6,0.0003297966284949799
pc1,ANGPTL7,-6.526588664350833e-06
pc1,ANK1,0.0011485439448979708
pc1,ANK2,-5.341940909518636e-07
pc1,ANK3,0.00013583878616440018
pc1,ANKAR,0.00010221827258591389
pc1,ANKDD1B,3.8224454519889545e-05
pc1,ANKFN1,-4.25465638415798e-05
pc1,ANKFY1,0.00030867783583886886
pc1,ANKH,-0.00037224858545831946
pc1,ANKIB1,3.518528004117419e-05
pc1,ANKK1,8.873591637355119e-05
pc1,ANKLE2,0.00017344219855416313
pc1,ANKMY1,0.00018989571914167257
pc1,ANKMY2,-0.0001744715116211575
pc1,ANKRA2,9.206630617670497e-06
pc1,ANKRD1,-6.820277148393701e-07
pc1,ANKRD10,-0.00011758527044403797
pc1,ANKRD11,-0.00017760143863092617
pc1,ANKRD13A,-0.00015258083139468208
pc1,ANKRD13B,-1.3108998734353579e-06
pc1,ANKRD13C,-0.0002199928931008101
pc1,ANKRD13D,-0.00044954443291283537
pc1,ANKRD17,-5.928451430094306e-05
pc1,ANKRD18B,-0.0004966679150087125
pc1,ANKRD2,-3.450110194096466e-05
pc1,ANKRD20A3,0.00017652834786084366
pc1,ANKRD20A4,7.13133321194891e-05
pc1,ANKRD20A8P,3.4801454054552835e-05
pc1,ANKRD22,0.0001414996355317941
pc1,ANKRD24,5.2465229724988876e-05
pc1,ANKRD26,0.0001384869343305451
pc1,ANKRD27,0.00015561473511031067
pc1,ANKRD28,-0.0001221338958874923
pc1,ANKRD29,0.0003299071028727066
pc1,ANKRD30A,1.280424169172356e-05
pc1,ANKRD30B,-1.5189645520513653e-06
pc1,ANKRD31,7.673930407197569e-05
pc1,ANKRD33,-3.48284769162907e-05
pc1,ANKRD33B,4.555579215865599e-05
pc1,ANKRD33B-AS1,5.972162674300456e-06
pc1,ANKRD34A,3.4276937826998184e-05
pc1,ANKRD34B,4.846343762981035e-05
pc1,ANKRD34C,0.0
pc1,ANKRD35,4.5994471893666046e-07
pc1,ANKRD36,0.00012636479056901594
pc1,ANKRD36B,0.00017939461876644293
pc1,ANKRD36C,0.0003040962092960192
pc1,ANKRD37,-0.00029800076907199357
pc1,ANKRD40,-1.687891780936681e-05
pc1,ANKRD44,-0.00045671656883398455
pc1,ANKRD45,0.00012777560847527847
pc1,ANKRD49,0.00010111480261650656
pc1,ANKRD50,-0.000219310912702751
pc1,ANKRD52,5.527347926576601e-05
pc1,ANKRD53,-2.3314542173327376e-05
pc1,ANKRD55,-0.00016932730199386312
pc1,ANKRD6,3.1400817464319954e-05
pc1,ANKRD60,-4.734039195407185e-06
pc1,ANKRD61,3.6287328533919973e-06
pc1,ANKRD62,4.5789334900162566e-05
pc1,ANKRD63,-3.8659031764133345e-06
pc1,ANKRD65,-4.223680577714407e-05
pc1,ANKRD66,-6.782542716285838e-05
pc1,ANKRD7,0.00015562463497971024
pc1,ANKRD9,-8.352428590268644e-05
pc1,ANKS1A,0.00020508448907504413
pc1,ANKS1B,2.569629310280038e-05
pc1,ANKS4B,2.8897813030081235e-05
pc1,ANKS6,-1.0195142516749729e-05
pc1,ANKZF1,0.00018315082720710303
pc1,ANLN,0.0002415417095725125
pc1,ANO1,-1.9983228209543793e-05
pc1,ANO1-AS1,-8.466498449443198e-07
pc1,ANO10,0.00021767486434839118
pc1,ANO2,9.392097333464872e-06
pc1,ANO4,2.2417058404722203e-05
pc1,ANO5,3.660094146282562e-05
pc1,ANO6,-9.279731099324129e-05
pc1,ANO7,-5.6022902448808383e-05
pc1,ANO8,-0.00011128395433171165
pc1,ANO9,-0.00027179474382481853
pc1,ANP32A,3.1428139432608972e-06
pc1,ANP32B,-2.44015759342471e-05
